addon_name ts1 ts2 ts3
"Smart Stop/Reload" 581 460 478 455 463
Ctrl-Tab 538 465 482 465 457
"SwitchProxy Tool" 569 459 471 465 502
"Smart Bookmarks Bar" 574 464 481 468 484
"Ad blocker" 538 457 469 472 460
ThunderBrowse 586 465 458 470 474
UnPlug 557 469 462 476 466
"FacePAD: Facebook Photo Album Downloader" 554 483 453 467 482
"Personal Menu" 810 448 459 462 460
SmoothWheel 559 466 463 474 455
"NetVideoHunter Video Downloader" 550 482 458 468 454
"MegaUpload DownloadHelper" 553 466 452 483 485
"Html Validator" 570 659 494 464 471
"Nightly Tester Tools" 638 469 476 489 478
"Firefox Showcase" 580 482 472 455 492
StrataBuddy 562 465 486 469 479
Flashbug 573 474 487 461 467
Ghostery 603 513 529 526 537
"Tab Scope" 571 477 475 489 492
QuickProxy 556 492 476 480 458
"Pixlr Grabber" 543 472 456 473 456
"Facebook ChatBar +" 556 457 496 492 458
"Google Redesigned" 804 669 645 652 663
"Quick TransLation (qtl)" 565 486 563 491 568
"eBay Sidebar" 636 531 504 527 514
Clipmarks 588 476 468 475 489
"New Tab Homepage" 539 477 476 471 458
"Embedded Objects" 540 463 469 465 504
"Text to Voice" 546 466 458 485 476
"JavaScript Debugger" 560 480 468 481 462
"Dr.Web anti-virus link checker" 576 457 464 465 465
BugMeNot 574 479 477 472 460
1-ClickWeather 587 458 489 491 490
OptimizeGoogle 562 468 473 470 462
"New Tab King" 546 489 517 481 474
Phzilla 583 536 471 492 472
Zindus 581 467 471 495 474
"Personas Rotator" 592 537 520 513 570
"SeoQuake SEO extension" 595 565 512 532 546
"Torrent Finder Toolbar" 637 554 513 548 559
"新同文堂 (New Tong Wen Tang)" 597 507 514 537 500
"Session Manager" 586 489 491 500 500
"My Facebook" 562 487 480 469 476
Linkification 567 457 477 469 465
"SQLite Manager" 542 465 464 457 495
"TinEye Reverse Image Search" 534 453 457 478 465
"Shareaholic - For Google, Facebook, Twitter and more!" 608 476 480 475 491
"Toolbar Buttons" 571 655 486 484 459
"Modify Headers" 560 461 466 499 470
Greasefire 576 504 480 467 455
HttpFox 592 485 462 474 462
"YouTube Video Downloader" 561 462 462 481 458
"flv movies downloader" 546 464 478 467 482
"GoogleTube - YouTube Player" 550 468 456 451 464
"AFOM - Memory Recovery & Retention For Firefox Only" 537 487 481 477 479
"Forecastbar Enhanced" 566 476 493 464 459
NoSquint 578 472 495 503 496
"Low Quality Flash" 541 474 466 466 466
"Contacts Sidebar" 574 495 458 490 458
FaceMoods 540 483 491 457 472
InvisibleHand 584 501 526 516 493
"ProCon Latte" 567 493 481 512 464
"Power Twitter" 550 464 463 478 454
"Extended Statusbar" 566 454 483 817 473
"Tiny Menu" 604 483 522 468 475
FirePHP 570 499 475 484 500
"Organize Status Bar" 576 473 464 480 454
Subtile 565 466 454 475 483
"DOM Inspector" 556 465 482 450 475
"Targeted Advertising Cookie Opt-Out (TACO)" 552 465 483 519 478
"Google Translator for Firefox" 546 463 467 479 467
"DownThemAll! AntiContainer" 571 462 471 461 495
FxIF 551 474 473 456 457
"Tab Progress Bar" 556 469 472 486 459
"MR Tech Toolkit" 598 501 523 500 544
"Textarea Cache" 554 472 492 463 475
AmazonAssist 632 517 517 507 515
"bab.la dictionary toolbar" 583 485 488 493 478
Firecookie 557 467 473 458 496
"Update Notifier" 610 483 494 473 470
"Download YouTube As MP4" 546 457 473 479 470
"YouTube Cinema" 583 472 473 475 476
"Compact Menu 2" 643 1094 1115 485 482
"Web2PDF Converter" 644 494 523 463 470
"Add to Search Bar" 566 460 460 457 487
"CodeBurner for Firebug" 577 485 470 464 450
"Google Contacts" 554 486 471 487 486
FootieFox 672 606 621 594 597
"SEO Doctor" 565 467 472 474 476
"VKontakte.ru / vk.com MP3 Music Downloader" 554 463 453 468 461
"Infoaxe: Full Text Web History Search synchronized between Firefox, IE on multiple computers."  462 486 487 498
AutoCopy 561 476 478 456 473
"Open in IE" 552 467 469 457 508
"Add-on Collector" 580 473 486 478 481
UnMHT 565 467 473 499 491
"Quick Locale Switcher" 576 549 487 493 489
googlebar 637 520 558 550 530
"WorldIP - flag and datacenter, ping and traceroute" 1636 952 924 835 745
"Yahoo! Toolbar" 817 640 653 645 629
Answers 566 480 465 478 469
"PDFescape Extension" 567 499 487 480 458
"Offer Assistant" 552 469 446 484 471
"Mozilla Labs - Prism" 543 472 460 469 484
MinimizeToTray 544 452 461 473 474
"Tab Sidebar" 564 463 475 460 462
"MP4 YouTube Downloader" 543 458 453 457 460
Zotero 909 849 838 790 845
Omnibar 541 465 465 490 494
MediaWrap 556 467 465 455 473
"Secure Login" 548 459 452 467 454
FoxFilter 550 483 517 485 472
"MinimizeToTray revived" 556 482 475 460 656
"Pearltrees - the world of your interests" 673 504 493 482 700
Sage 479 484 477 466 466
"NEW Glasser by SzymekPL" 698 469 459 465 469
"Undo Closed Tabs Button" 590 476 483 455 483
"Hide Caption Titlebar Plus  (Smart)" 591 483 503 510 499
"Alexa Sparky" 654 490 496 493 487
QuickDrag 553 452 463 482 465
"Open IT Online" 571 465 465 478 479
"Menu Editor" 564 490 462 460 455
"Minimap Sidebar" 615 497 479 466 481
"Mozilla Archive Format (with Faithful Save)"
"Morning Coffee" 547 455 479 468 465
"ChromaTabs Plus" 554 467 466 476 485
Meebo 567 481 479 487 449
"Yahoo! Mail Notifier" 694 491 505 525 509
wmlbrowser 549 474 476 459 452
PrintPDF 568 486 461 482 450
"Drupal For Firebug" 564 467 479 467 470
"View Source Chart" 557 476 465 466 483
Tabberwocky 602 485 496 470 514
FoxGame 623 463 459 492 478
WikiLook 566 509 497 479 493
"VKontakte.ru / vk.com Video Downloader" 551 465 462 471 466
"Multiple Tab Handler" 568 489 468 482 487
"IE View Lite" 538 461 465 496 459
Gspace 576 494 484 506 483
"Vacuum Places Improved" 548 470 468 480 452
"Firefox PDF Plugin for Mac OS X" 561 477 480 482 481
"Pearl Crescent Page Saver Basic" 554 504 482 477 469
"WebMail Ad Blocker" 551 487 456 474 486
"Tab Preview" 615 477 465 468 467
SearchStatus 584 510 492 481 518
"Save Images" 560 456 474 459 480
"All-in-One Gestures" 592 463 494 478 484
"Webmaster SAPE" 569 485 490 497 483
"Friendbar - The Twitter and Facebook Toolbar" 686 546 572 569 573
FireQuery 612 468 480 475 485
"ImageHost Grabber" 552 476 490 467 461
"Lazarus: Form Recovery" 576 529 486 492 524
"ScrapBook Plus" 596 470 492 493 473
"Weather Watcher Live" 697 613 602 621 595
QuickRestart 555 473 456 484 454
"Online Translator Toolbar" 568 498 498 516 530
GMarks 559 480 460 467 464
RefControl 559 461 469 485 470
"Tab Utilities" 719 617 639 617 640
"Default FullZoom Level" 559 483 478 500 454
"Blank Canvas Gmail Signatures" 558 457 460 478 474
LeechBlock 569 463 488 503 459
"FireFTP button" 765 460 459 473 478
Locationbar² 562 477 491 496 484
"Yet Another Smooth Scrolling" 554 493 459 469 465
gTranslator 608 471 485 508 454
"Mozilla Labs - Ubiquity" 595 494 507 502 534
"FetchMP3 Video to Audio Converter" 568 485 468 456 515
"GBookmarks (Google Bookmarks for Firefox)" 593 455 480 479 462
Stealther 547 472 477 467 461
"DeeperWeb – Boost and Customize Google Search" 593 471 482 469 491
"Gmail Watcher" 574 481 475 494 492
"Download status" 557 485 470 503 462
"Better YouTube" 559 480 456 463 477
"Update Scanner" 587 483 480 496 466
HackBar 599 502 485 495 478
"Adblock Plus Filter Uploader" 554 467 468 472 452
"Screen Capture Elite" 652 480 471 476 507
Converter 585 465 513 467 486
FaviconizeTab 537 451 480 468 480
"ScribeFire Blog Editor" 577 491 483 510 501
CookieCuller 564 466 470 473 480
"Capture Fox" 545 468 463 482 480
Click&Clean 622 573 554 531 533
JSONView 601 460 464 466 468
"Microsoft .NET Framework Assistant" 564 476 467 473 465
"Multi Links" 574 501 477 462 496
Quicktext 562 484 463 453 479
"Better GReader" 565 478 453 479 462
CheckPlaces 574 490 467 458 481
Sxipper 916 768 789 786 769
LightningButton 552 472 484 458 470
"Hotmail Watcher" 627 550 562 534 535
"Tabs on top" 547 487 466 486 472
Fox!Box 554 466 480 474 450
"Remove Duplicate Messages (Alternate)" 557 468 461 495 482
"Live PageRank" 554 473 475 457 456
"Firefox Google Assistant by Surf Canyon" 548 465 465 490 482
Brief 657 481 486 468 467
"Test Pilot"  604 542 564 516
"Quick Translator" 720 564 554 536 547
"Megaupload SX.3.2" 541 482 461 470 490
Pencil 604 468 458 477 464
"MinimizeToTray For FF 3.5" 601 467 1074 1069 1087
"Add Bookmark Here ²" 546 468 469 464 454
Check4Change 556 481 461 487 460
QuickPageZoom 536 474 454 461 491
"Edit Cookies" 563 450 472 458 456
"Grab and Drag" 634 492 495 492 462
"NBA Scoreboard 2010" 551 458 479 463 454
CustomizeGoogle 597 484 469 462 467
"Toggle Web Developer Toolbar" 530 467 516 476 462
RightToClick 542 494 457 467 460
"Ebook PDF Search Engine and Viewer Toolbar" 538 484 474 481 460
CookieSafe 552 468 453 465 459
"CSS Usage" 573 458 477 465 455
"Dictionary Switcher" 560 467 453 461 466
CyberSearch 584 473 493 464 458
Wired-Marker 702 840 554 542 539
"Auto Shutdown" 565 482 457 472 477
ThunderBirthDay 555 460 444 475 463
CompactHeader 555 477 481 463 485
LookOut 574 471 455 467 469
"Firefinder for Firebug" 548 461 486 466 501
"greased lightbox" 556 493 465 499 480
"Context Search" 547 477 452 458 470
"AdChange For AdblockPlus"
"Facebook Filter" 541 464 469 468 471
BarTab 540 468 488 477 460
"Cache Status" 587 485 486 478 486
"XHTML Mobile Profile" 569 464 474 477 461
"View Cookies" 583 458 472 466 470
pdfit 565 468 503 469 467
"Image Toolbar" 554 488 471 451 471
"Meeting scheduler for Gmail" 565 447 487 484 481
"external IP" 550 543 485 540 482
Fotofox 638 479 451 482 472
EPUBReader 557 469 512 463 469
"goo Dictionary" 603 471 484 473 469
"Amazon S3 Firefox Organizer(S3Fox)" 598 466 466 485 474
"CHM Reader" 582 463 479 462 450
"Open Bookmarks in New Tab" 591 483 466 502 473
AImusic 548 497 458 490 455
"Last Tab Close Button" 554 477 460 469 509
"Thunderbird Message Filter Import/Export" 557 471 480 458 459
GoogleBlack 586 464 485 466 472
InFormEnter 568 462 467 459 470
SenSEO 556 452 482 461 508
QuickNote 545 484 506 466 466
"Element Properties" 558 470 473 456 459
FlashCatch 615 486 461 473 490
"Total Validator" 578 480 457 470 464
Console² 568 484 457 473 491
Coupons24.com 684 475 506 470 466
"Google Reader Watcher" 600 482 468 510 482
Vimperator 1071 999 982 991 998
"Gladiatus Tools" 543 475 478 470 459
"Save Image in Folder" 628 490 475 456 488
"Display Mail User Agent" 565 469 461 467 461
"Flash Killer" 553 506 472 470 476
Interclue 626 555 579 555 587
KidZui 605 525 472 503 522
"Google Docs Viewer (PDF, PPT, TIFF, DOC, DOCX)" 540 471 468 473 455
OpenDownload 578 469 457 470 475
"Pray Times!" 565 505 475 470 476
"Drag & DropZones" 620 458 478 472 519
LinkChecker 529 477 462 469 462
"Simple Mail" 559 467 468 481 492
Linky 577 481 475 502 461
NewTabURL 556 457 467 466 482
"Download Sort" 556 489 465 485 470
"LinkExtend - Site Ratings" 746 630 596 608 611
"Bulk Image Downloader" 637 473 461 463 461
NewsFox 690 522 488 475 466
"TooManyTabs - Saves Your Memory" 716 539 492 541 514
"Addictive Typing Lessons" 558 459 500 443 473
"Feed Sidebar" 669 515 490 580 488
"YouTube Enabler" 555 507 474 450 495
"Stop Autoplay" 573 467 471 465 472
"Nuke Anything Enhanced" 565 463 486 450 444
"Grocery List Generator" 674 524 545 529 541
"samfind Bookmarks Bar" 739 581 592 627 608
"Pixel Perfect" 546 473 480 461 445
TrackMeNot 608 599 449 474 465
"Unhide Passwords" 558 469 462 468 452
"Xmarks SearchTabs" 559 471 622 478 473
"Google Calendar Tab" 547 473 462 475 499
"My Translator (Google Translate)" 540 465 468 465 470
"Aero Fox III" 660 464 477 477 461
TabRenamizer 577 553 484 482 463
"Dafizilla Table2Clipboard" 582 470 481 471 482
PlainOldFavorites 585 456 472 469 495
"WebRank Toolbar - Google Pagerank, Alexa, Compete and Quantcast Rank with Pick Me Bookmarking" 583 564 515 481 479
"Signature Switch" 562 458 464 459 458
rikaichan 568 459 506 477 475
"Locale Switcher" 607 488 445 446 455
"Flash Game Maximizer" 558 496 484 484 456
"Zoom Page" 558 479 464 455 450
"Print/Print Preview" 594 450 501 456 447
Image-Show-Hide 568 475 473 458 467
foxydeal 797 585 567 636 704
"Privacy +" 578 480 455 457 444
"Add N Edit Cookies" 566 527 487 466 457
RetailMeNot 557 457 458 459 477
"Aviary Screen Capture & Quick Launch (Talon)" 582 487 471 465 468
"Cookie Monster" 564 465 471 476 479
"Favicon Picker 3" 564 460 461 464 457
"Search Files on Rapidshare Megaupload Mediafire 4shared Easy-Share and Co" 549 458 476 490 466
" Amazon Button" 651 475 482 489 477
"Full Fullscreen" 574 461 446 468 480
"AutoPager Lite" 1805 519 491 516 501
"Tor-Proxy.NET Toolbar" 648 465 474 475 453
"QuickFox Notes" 618 497 480 484 464
FlipClock 553 468 468 489 478
"Firefox Secrets" 939 451 472 448 482
DictionarySearch 601 478 469 460 472
"Babylon Dictionary Word Search" 555 475 484 457 462
"Broadband Speed Test and Diagnostics" 568 458 470 476 470
"Fox Notifier - Follow Facebook, Twitter, Craigslist, Blogger...." 574 500 476 484 512
"Screenshot Pimp" 678 549 511 625 486
"Configuration Mania" 557 463 471 454 458
"LOOP to PDF for Firefox" 755 497 477 459 470
"JavaScript Deobfuscator" 578 488 451 473 462
"Yes popups" 590 463 452 459 453
"Forex Currency Converter" 561 456 459 464 460
"Related How-To Videos Sidebar" 550 450 447 451 456
"Domain Details" 539 485 496 472 479
"Online Music Player" 645 543 565 550 555
RequestPolicy 595 488 499 507 508
PopupMaster 587 484 469 489 467
Stationery 575 467 496 460 482
中止ボタンがしいたけに見えて困る 556 458 485 483 466
Firepicker 546 477 542 496 461
"SEO Status PageRank/Alexa Toolbar" 577 501 490 483 495
"Myibay Auction bid sniper for eBay (""Snipe it"")" 551 487 466 497 502
"Browser Backgrounds" 622 499 514 504 483
"Remove It Permanently" 575 467 481 484 511
Googlepedia 545 512 477 478 476
"Glubble for Families" 749 633 634 619 598
"Youtube Music Player" 569 502 507 488 474
"Copy Plain Text" 591 462 482 506 476
"Make Address Bar Font Size Bigger" 540 497 491 451 464
"Tab Catalog" 576 462 511 486 491
"Certificate Patrol" 567 494 471 496 479
"CS Lite" 541 451 469 478 467
EditCSS 565 483 447 472 473
"Russ Key" 574 470 487 495 462
"CLIP:  CraigsList Image Prefetcher" 567 462 462 465 460
"Netcraft Toolbar" 595 468 466 498 468
TrashMail.net 551 456 477 467 466
"Font Finder" 544 472 477 456 461
mid 556 468 460 444 462
"Redirect Remover" 568 457 475 477 461
"Multicolumn Bookmarks" 551 455 471 456 459
"Ease Link" 551 475 490 476 492
"Yahoo! Mail Watcher" 624 551 556 572 549
Hyperwords 602 491 476 496 482
"Roboform Toolbar for Firefox" 582 475 489 460 468
"Pimp My Facebook Skin!" 533 460 486 458 469
"PinkTheme Pink Pack " 578 435 429 434 437
"CuteMenus - Crystal SVG" 553 492 487 452 482
"Mozilla Labs - Jetpack Prototype" 833 651 656 684 679
"Remove Duplicate Messages" 802 477 461 451 453
gladder 693 709 636 644 560
refspoof 555 481 468 461 461
"RUWT? Sports Toolbar" 583 678 507 505 483
"QuickFolders (Folder Tabs)" 573 536 495 468 472
"Custom Download Manager" 571 492 467 481 496
